slug,type,title,price_xpf,photos_png,description,is_active
charm-catherdral-cove,charmes,Charm | Catherdral Cove,5435,https://evolve-jewellery.co.nz/cdn/shop/products/Evolve-GK72-Cathedral-Cove-charm-jewellery-in-new-zealand.png,Charme en forme de coeur,TRUE
charm-mount-maunganui,charmes,Charm | Mount Maunganui,5130,https://evolve-jewellery.co.nz/cdn/shop/products/Evolve-GK73-Mount-Manganui-charm-jewellery-in-new-zealand.png,,TRUE
charm-tekapo-night-sky,bracelets,Charm | Tekapo Night Sky,5435,https://evolve-jewellery.co.nz/cdn/shop/products/Evolve-E69-Tekapo-Night-Sky-charm-jewellery-in-new-zealand.png,Bracelet en cuir noir avec fermoir métal,TRUE
